review_title,product_review,product_rating,reviewer
Injured by this product,"
  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.
",1.0 out of 5 stars,Private
Caught in war between Apple & Amazon,"
  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕",3.0 out of 5 stars,Colorado Bulldawg
Battery life,"
  I go to the gym and with these they were so good my head exploded in tiny pieces
",5.0 out of 5 stars,Amazon Customer
Buy the wireless charging version if you have a wireless charger,"
   Wireless charging is something that you can't go back
",5.0 out of 5 stars,tcjia2017
Doesn’t work well with Amazon music app,"
  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.
",1.0 out of 5 stars,Kevin L. Dewey
Amazing,"
  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.
",5.0 out of 5 stars,Daniel
Gen 1 was good and Gen2 is about the same!,"
  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.
",5.0 out of 5 stars,Ratings Man 
Great sound and quality features,"
  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.
",5.0 out of 5 stars,Kasey
Don’t purchase !,"
  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.
",1.0 out of 5 stars,Emma G
Not Apple Ipods,"
  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.
",1.0 out of 5 stars,Kari
review_title,product_review,product_rating,reviewer
